exam,year,session,date,shift,paper,paper_number,language,pdf_type,answer_key_file,question_paper_file,local_path,page_count,file_size
JEE_MAIN,2025,Session 2,2025-04-09,Shift 1,Paper 2,2,English,Final Answer Key,2025\Session-2\Answer-Keys\JEE_Main_2025_Session-2_Paper-2_Final-Answer-Key_2.pdf,,2025\Session-2\Answer-Keys\JEE_Main_2025_Session-2_Paper-2_Final-Answer-Key_2.pdf,6,18617
JEE_MAIN,2025,Session 2,,,Paper 1,1,English,Final Answer Key,2025\Session-2\Notices\JEE_Main_2025_Session-2_Paper-1_Provisional-Answer-Key-Notice.pdf,,2025\Session-2\Notices\JEE_Main_2025_Session-2_Paper-1_Provisional-Answer-Key-Notice.pdf,2,844035
JEE_MAIN,2025,Session 2,,,Paper 2,2,English,Final Answer Key,2025\Session-2\Notices\JEE_Main_2025_Session-2_Paper-2_Provisional-Answer-Key-Notice.pdf,,2025\Session-2\Notices\JEE_Main_2025_Session-2_Paper-2_Provisional-Answer-Key-Notice.pdf,2,918579
JEE_MAIN,2025,Session General,,,Paper 1,1,English,Final Answer Key,2025\Session-General\Answer-Keys\JEE_Main_2025_Session-General_Paper-1_Final-Answer-Key.pdf,,2025\Session-General\Answer-Keys\JEE_Main_2025_Session-General_Paper-1_Final-Answer-Key.pdf,1,282570
JEE_MAIN,2025,Session General,2025-01-22,Shift 1,Paper 1,1,English,Final Answer Key,2025\Session-General\Answer-Keys\JEE_Main_2025_Session-General_Paper-1_Final-Answer-Key_2.pdf,,2025\Session-General\Answer-Keys\JEE_Main_2025_Session-General_Paper-1_Final-Answer-Key_2.pdf,20,36794
JEE_MAIN,2025,Session General,2025-01-22,Shift 1,Paper 1,1,English,Final Answer Key,2025\Session-General\Answer-Keys\JEE_Main_2025_Session-General_Paper-1_Final-Answer-Key_3.pdf,,2025\Session-General\Answer-Keys\JEE_Main_2025_Session-General_Paper-1_Final-Answer-Key_3.pdf,20,36596
JEE_MAIN,2026,Session 1,2026-01-21,Shift 1,Paper 1,1,English,Final Answer Key,2026\Session-1\Answer-Keys\JEE_Main_2026_Session-1_Paper-1_Final-Answer-Key.pdf,,2026\Session-1\Answer-Keys\JEE_Main_2026_Session-1_Paper-1_Final-Answer-Key.pdf,20,35822
JEE_MAIN,2026,Session 1,2026-01-21,Shift 1,Paper 1,1,English,Final Answer Key,2026\Session-1\Answer-Keys\JEE_Main_2026_Session-1_Paper-1_Final-Answer-Key_2.pdf,,2026\Session-1\Answer-Keys\JEE_Main_2026_Session-1_Paper-1_Final-Answer-Key_2.pdf,10,25169
JEE_MAIN,2026,Session 1,2026-01-29,Shift 1,Paper 2,2,English,Final Answer Key,2026\Session-1\Answer-Keys\JEE_Main_2026_Session-1_Paper-2_Final-Answer-Key.pdf,,2026\Session-1\Answer-Keys\JEE_Main_2026_Session-1_Paper-2_Final-Answer-Key.pdf,6,18711
JEE_MAIN,2026,Session 1,,,Paper 1,1,English,Final Answer Key,2026\Session-1\Notices\JEE_Main_2026_Session-1_Paper-1_Provisional-Answer-Key-Notice.pdf,,2026\Session-1\Notices\JEE_Main_2026_Session-1_Paper-1_Provisional-Answer-Key-Notice.pdf,2,907646
JEE_MAIN,2026,Session 1,,,Paper 2,2,English,Final Answer Key,2026\Session-1\Notices\JEE_Main_2026_Session-1_Paper-2_Provisional-Answer-Key-Notice.pdf,,2026\Session-1\Notices\JEE_Main_2026_Session-1_Paper-2_Provisional-Answer-Key-Notice.pdf,2,914520
JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1,1,English,Final Answer Key,2026\Session-2\Answer-Keys\JEE_Main_2026_Session-2_Paper-1_Final-Answer-Key.pdf,,2026\Session-2\Answer-Keys\JEE_Main_2026_Session-2_Paper-1_Final-Answer-Key.pdf,18,33395
JEE_MAIN,2026,Session 2,,,Paper 1,1,English,Final Answer Key,2026\Session-2\Notices\JEE_Main_2026_Session-2_Paper-1_Provisional-Answer-Key-Notice.pdf,,2026\Session-2\Notices\JEE_Main_2026_Session-2_Paper-1_Provisional-Answer-Key-Notice.pdf,2,900898
JEE_MAIN,2026,Session 2,,,Paper 2,2,English,Final Answer Key,2026\Session-2\Notices\JEE_Main_2026_Session-2_Paper-2_Provisional-Answer-Key-Notice.pdf,,2026\Session-2\Notices\JEE_Main_2026_Session-2_Paper-2_Provisional-Answer-Key-Notice.pdf,2,909048
JEE_MAIN,2026,Session 2,2026-04-02,Shift 1,Paper 1 (B.E./B.Tech),1,English,Question Paper (Master),,2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-02_Shift-1_Question-Paper.pdf,30,2463315
JEE_MAIN,2026,Session 2,2026-04-02,Shift 2,Paper 1 (B.E./B.Tech),1,English,Question Paper (Master),,2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-02_Shift-2_Question-Paper.pdf,2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-02_Shift-2_Question-Paper.pdf,31,2586255
JEE_MAIN,2026,Session 2,2026-04-04,Shift 1,Paper 1 (B.E./B.Tech),1,English,Question Paper (Master),,2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-04_Shift-1_Question-Paper.pdf,2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-04_Shift-1_Question-Paper.pdf,28,2148210
JEE_MAIN,2026,Session 2,2026-04-04,Shift 2,Paper 1 (B.E./B.Tech),1,English,Question Paper (Master),,2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-04_Shift-2_Question-Paper.pdf,2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-04_Shift-2_Question-Paper.pdf,30,2264985
JEE_MAIN,2026,Session 2,2026-04-05,Shift 1,Paper 1 (B.E./B.Tech),1,English,Question Paper (Master),,2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-05_Shift-1_Question-Paper.pdf,2026\Session-2\Question-Papers\JEE_Main_2026_Session-2_2026-04-05_Shift-1_Question-Paper.pdf,30,2273572
